MapNo,Lon,Lat,DeltaR,DeltaRErr,Reference,Locality,Subregion,Notes,CollectionYear,ReservoirAge,ReservoirErr,C14age,C14err,LabID,Delta13C,TaxaNo,RefNo,nextime,last_changed
1588,142.1688,48.0809,56,30,"Kuzmin, Y.V.:2007",Ilyinsky,Sea of Japan coast,,1925,511,38,660,30,AA-59235,,216,92,,04/04/2022 08:36
1589,142.773,48.6067,356,30,"Kuzmin, Y.V.:2007",Makarov,Okhotsk Sea coast,,1925,811,38,960,30,AA-59228,,145,92,,04/04/2022 08:36
1590,144.6956,48.6793,546,30,"Kuzmin, Y.V.:2007",Davydov Cape,Okhotsk Sea coast,,1925,1001,38,1150,30,AA-59232,,472,92,,04/04/2022 08:36
1591,142.795,47.4087,381,30,"Kuzmin, Y.V.:2007",Uda River mouth,Okhotsk Sea coast,,1925,836,38,985,30,AA-59233,,225,92,,04/04/2022 08:36
1592,142.773,48.6067,316,30,"Kuzmin, Y.V.:2007",Porechye,Okhotsk Sea coast,,1925,771,38,920,30,AA-59234,,216,92,,04/04/2022 08:36
1593,145.6404,43.2883,186,25,"Kuzmin, Y.V.:2007",Zeleny Island,Northwestern Pacific,,1925,641,34,790,25,AA-59226,,145,92,,04/04/2022 08:36
1594,145.7063,43.3443,226,35,"Kuzmin, Y.V.:2007",Zeleny Island,Northwestern Pacific,,1925,681,42,830,35,AA-59227,,145,92,,04/04/2022 08:36
1629,-162.089,5.861,-145,15,"Zaunbrecher,:2009",Palymyra atoll,Equatorial Pacific,,1944,273,17,458,15,UCIAMS-35678,,401,158,1630,11/08/2020 23:00
1661,-157.4199,1.8499,-130,15,"Zaunbrecher,:2009",Kiritimati,Equatorial Pacific,,1944,288,17,473,15,UCIAMS-36742,,401,158,1662,11/08/2020 23:00
1667,-76.8351,38.2525,-4,40,"Rick, Torben:2012",Cobb Island Potomac River MD,USA Mid -Atlantic Coast,,1927,444,41,600,40,Beta-284387,-4.5,73,159,,11/08/2020 23:00
1668,-76.3243,38.0344,-15,40,"Rick, Torben:2012",Point Lookout MD,USA Mid -Atlantic Coast,,1898,502,41,600,40,Beta-284384,-2.5,73,159,,11/08/2020 23:00
1669,-76.3023,37.9391,-20,35,"Rick, Torben:2012",Smiths Creek Potomac River VA,USA Mid -Atlantic Coast,,1883,496,36,610,35,OS-22439,-1.56,73,159,,11/08/2020 23:00
1670,-76.2693,37.0807,-75,40,"Rick, Torben:2012",Buckroe Beach VA,USA Mid -Atlantic Coast,,1916,404,41,530,40,Beta-284386,-1.7,73,159,,11/08/2020 23:00
1671,-76.2693,39.1528,-274,30,"Rick, Torben:2012",Swan Point Kent County MD,USA Mid -Atlantic Coast,,1818,300,31,405,30,OS-22441,-1.88,73,159,,11/08/2020 23:00
1672,-76.1512,38.6269,-219,30,"Rick, Torben:2012",Town Pt. lower Choptank River MD,USA Mid -Atlantic Coast,,1923,242,31,385,30,OS-22440,-4.32,73,159,,11/08/2020 23:00
1673,-76.3133,38.4679,-244,40,"Rick, Torben:2012",Town Pt. Little Choptank River MD,USA Mid -Atlantic Coast,,1923,217,41,360,40,Beta-284385,-3.3,73,159,,11/08/2020 23:00
1674,-75.2174,38.2331,-33,40,"Rick, Torben:2012",Ocean City Sinepuxant Bay MD,USA Mid -Atlantic Coast,,1945,382,41,570,40,Beta-284389,-0.4,73,159,,11/08/2020 23:00
1675,-75.9452,37.1048,-155,40,"Rick, Torben:2012",Magothy Bay VA,USA Mid -Atlantic Coast,,1916,324,41,450,40,Beta-284388,0.9,73,159,,11/08/2020 23:00
1676,118.3333,76.6333,-108,40,"Bauch,H.A., :2001",Laptev Sea,Arctic Ocean coastal,,1937,334,41,495,40,AAR-2769,,474,6,,11/08/2020 23:00
1677,124.6833,75.7,3,45,"Bauch,H.A., :2001",Laptev Sea,Arctic Ocean coastal,,1901,520,46,615,45,AAR-2770,,474,6,,11/08/2020 23:00
1678,134.5667,74.7,-103,60,"Bauch,H.A., :2001",Laptev Sea,Arctic Ocean coastal,,1937,339,61,500,60,AAR-2772,,197,6,,11/08/2020 23:00
1679,130.1833,75.6,-118,50,"Bauch,H.A., :2001",Laptev Sea,Arctic Ocean coastal,,1937,324,51,485,50,AAR-2773,,475,6,,11/08/2020 23:00
1680,118.3333,76.6333,-153,45,"Bauch,H.A., :2001",Laptev Sea,Arctic Ocean coastal,,1937,289,46,450,45,AAR-2774,,475,6,,11/08/2020 23:00
1681,-79.9988,7.6277,-120,25,"Toth,Lauren :2012",Isla Iguana,Pacific coast of Panama,U-Th dated,1898,397,26,495,25,Beta-,,476,148,,11/08/2020 23:00
1682,-70.1396,-21.7183,39,33,"Ortlieb,Luc :2011",Salitrera Buenaventrura,Chile,,1914,524,34,645,33,Pa-2250,1.2,477,115,,30/08/2023 13:38
1683,-70.5901,-23.2611,-64,60,"Ortlieb,Luc :2011",Salitrera Prat,Chile,,1921,400,60,540,60,Pa-2055,1.6,399,115,,30/08/2023 13:38
1684,-70.5901,-23.2611,191,30,"Ortlieb,Luc :2011",Salitrera Prat,Chile,,1921,655,31,795,30,Pa-2057,1.7,399,115,,30/08/2023 13:38
1685,-70.5901,-23.2611,-130,32,"Ortlieb,Luc :2011",Salitrera Prat,Chile,,1921,334,33,474,32,PaB-O32,1.2,399,115,,30/08/2023 13:38
1686,-70.5901,-23.2611,-6,29,"Ortlieb,Luc :2011",Salitrera Prat,Chile,,1921,458,30,598,29,PaB-O33,1.1,399,115,,30/08/2023 13:38
1687,-70.2275,-20.7762,227,40,"Ortlieb,Luc :2011",Salitrera Slavonia,Chile,,1909,719,41,835,40,Pa-2268,,477,115,,30/08/2023 13:38
1688,-9.36,38.57,-197,38,"Abrantes, F.:2005",Trafaria,Lisbon,55,1896,322,39,420,38,AAR-7307,0.71,48,1,,11/08/2020 23:00
1689,-9.42,38.66,-140,33,"Abrantes, F.:2005",Cascais,Lisbon,27-35,1896,379,34,477,33,AAR-7308,0.67,478,1,,11/08/2020 23:00
1690,-9.25,38.67,-47,39,"Abrantes, F.:2005",Dafundo,Lisbon,10,1938,393,40,556,39,AAR-7309,0.5,134,1,,11/08/2020 23:00
1691,113.835,-28.682,-86,30,Peter Squire:2013,East Indian Ocean,Severnty Island,,1834,463,31,575,30,OZO-429,-1,269,163,,30/08/2023 13:38
1692,10.42,54.79,-299,50,Lougheed et al. (2013),Fehmarn sound,Baltic Sea,24m,1932,142,50,305,50,LuS-9965,-0.16,19,164,,04/04/2022 08:36
1693,11.82,54.52,-226,50,Lougheed et al. (2013),Fehmarn sound,Baltic Sea,19m,1888,285,50,400,50,LuS-9964,1.93,26,164,,04/04/2022 08:36
1694,12.3667,54.7667,-214,50,Lougheed et al. (2013),Arkona Basin,Baltic Sea,17m,1878,295,51,420,50,LuS-9970,0.01,19,164,,04/04/2022 08:36
1695,12.7833,55.3167,96,50,Lougheed et al. (2013),Arkona Basin,Baltic Sea,11m,1878,605,51,730,50,LuS-10179,0.78,130,164,,04/04/2022 08:36
1696,13.4,55,-154,50,Lougheed et al. (2013),Arkona Basin,Baltic Sea,46m,1878,355,51,480,50,LuS-9957,-0.03,130,164,,04/04/2022 08:36
1697,13.8167,55.1667,-224,45,Lougheed et al. (2013),Arkona Basin,Baltic Sea,47m,1878,285,46,410,45,LuS-9976,0.06,130,164,,04/04/2022 08:36
1698,14.2167,55.1833,-314,50,Lougheed et al. (2013),Arkona Basin,Baltic Sea,49m,1878,195,51,320,50,LuS-9967,2.3,23,164,,04/04/2022 08:36
1699,14.5667,55.0833,-204,45,Lougheed et al. (2013),Arkona Basin,Baltic Sea,22m,1878,305,46,430,45,LuS-9975,-0.2,130,164,,04/04/2022 08:36
1700,14.56,55.27,-266,50,Lougheed et al. (2013),Bornholm Basin,Baltic Sea,49m,1882,251,51,365,50,LuS-9966,1.68,25,164,,04/04/2022 08:36
1701,15.04,55.3,-361,45,Lougheed et al. (2013),Bornholm Basin,Baltic Sea,71m,1882,156,46,270,45,LuS-9962,1.4,23,164,,04/04/2022 08:36
1702,15.7833,55.2833,-144,50,Lougheed et al. (2013),Bornholm Basin,Baltic Sea,101m,1878,365,51,490,50,LuS-9969,-1.85,131,164,,04/04/2022 08:36
1703,16.0333,55.7833,-264,50,Lougheed et al. (2013),Bornholm Basin,Baltic Sea,54m,1878,245,51,370,50,LuS-9956,0.15,130,164,,04/04/2022 08:36
1704,15.85,56.0833,-361,50,Lougheed et al. (2013),Bornholm Basin,Baltic Sea,9m,1882,156,51,270,50,LuS-10182,0.08,130,164,,04/04/2022 08:36
1705,16.9667,55.4,-244,60,Lougheed et al. (2013),South Gotland Basin,Baltic Sea,45m,1878,265,61,390,60,LuS-9972,-1.09,130,164,,04/04/2022 08:36
1706,16.9,55.8333,-154,45,Lougheed et al. (2013),South Gotland Basin,Baltic Sea,41m,1878,355,46,480,45,LuS-10180,0.16,130,164,,04/04/2022 08:36
1707,17.7167,55.1667,-339,50,Lougheed et al. (2013),South Gotland Basin,Baltic Sea,67m,1878,170,51,295,50,LuS-9953,1.07,23,164,,04/04/2022 08:36
1708,18.75,54.69,-119,50,Lougheed et al. (2013),Gdansk Bay,Baltic Sea,12m,1931,321,50,485,50,LuS-10183,0.37,151,164,,04/04/2022 08:36
1709,16.65,57.75,915,50,Lougheed et al. (2013),West Gotland Basin,Baltic Sea,2m,1846,1446,51,1570,50,LuS-9968,-3.34,480,164,,04/04/2022 08:36
1710,17.2667,57.5333,-294,50,Lougheed et al. (2013),West Gotland Basin,Baltic Sea,133m,1879,219,51,340,50,LuS-9974,-2.31,130,164,,04/04/2022 08:36
1711,18.25,57.63,568,50,Lougheed et al. (2013),Gotland Coast,Baltic Sea,36m,1881,1084,51,1200,50,LuS-9955,-0.07,130,164,,04/04/2022 08:36
1712,18.83,57.66,338,50,Lougheed et al. (2013),Gotland Coast,Baltic Sea,33m,1881,854,51,970,50,LuS-10181,-0.28,130,164,,04/04/2022 08:36
1713,19.7167,57.35,-149,50,Lougheed et al. (2013),Gotland Deep,Baltic Sea,187m,1879,364,51,485,50,LuS-9963,0.71,23,164,,04/04/2022 08:36
1714,20.2333,57.2333,336,50,Lougheed et al. (2013),Gotland Deep,Baltic Sea,182m,1879,849,51,970,50,LuS-9958,0.16,130,164,,04/04/2022 08:36
1715,20.96,56.5,266,50,Lougheed et al. (2013),Latvian Coast,Baltic Sea,8m,1928,710,50,870,50,LuS-9959,-2.77,130,164,,04/04/2022 08:36
1716,24.35,57.8667,101,50,Lougheed et al. (2013),Gulf of Riga,Baltic Sea,1m,1926,552,50,705,50,LuS-9971,-3.24,130,164,,04/04/2022 08:36
1717,18.9167,59.6667,-339,50,Lougheed et al. (2013),Stockholm archipelago,Baltic Sea,1m,1906,164,50,270,50,LuS-9973,1.57,130,164,,04/04/2022 08:36
1718,19.95,60.1,-243,45,Lougheed et al. (2013),�land,Baltic Sea,1m,1939,194,46,360,45,LuS-9952,-1.15,130,164,,04/04/2022 08:36
1719,24.7667,60.1167,-371,50,Lougheed et al. (2013),South Finnish coast,Baltic Sea,19m,1893,149,50,250,50,LuS-9961,0.28,130,164,,04/04/2022 08:36
1720,20.7833,63.4167,-339,50,Lougheed et al. (2013),South Bothnian Bay,Baltic Sea,40m,1934,104,51,265,50,LuS-9960,2.08,130,164,,04/04/2022 08:36
1721,20.8333,63.0667,-334,45,Lougheed et al. (2013),North Bothnian Sea,Baltic Sea,1.6m,1934,109,46,270,45,LuS-9954,-0.33,130,164,,04/04/2022 08:36
1777,-85.6734,30.1362,-153,20,"Hadden, Cherkinsky 2015",Northwest coast of Florida,Carribean,,1945,262,22,450,20,UGAMS-14891,1.4,483,166,1912,04/04/2022 08:36
1778,-85.6947,30.1107,-154,20,"Hadden, Cherkinsky 2015",Northwest coast of Florida,Carribean,,1924,304,21,450,20,UGAMS-14893,0,483,166,,04/04/2022 08:36
1779,-86.4974,30.3841,-198,20,"Hadden, Cherkinsky 2015",Northwest coast of Florida,Carribean,2 different shells,1941,231,22,405,20,UGAMS-14896A,0,483,166,,04/04/2022 08:36
1780,-85.7043,30.1463,-93,20,"Hadden, Cherkinsky 2015",Northwest coast of Florida,Carribean,2 replicates from same shell,1946,320,22,510,20,UGAMS-14890,1.9,484,166,1907,04/04/2022 08:36
1781,-84.6346,29.8383,56,20,"Hadden, Cherkinsky 2015",Northwest coast of Florida,Carribean,,1929,498,21,660,20,UGAMS-14892A,0,484,166,,04/04/2022 08:36
1782,-86.5503,30.4274,-154,20,"Hadden, Cherkinsky 2015",Northwest coast of Florida,Carribean,,1929,288,21,450,20,UGAMS-14894,2.4,484,166,1918,04/04/2022 08:36
1783,-85.3651,29.8871,-73,20,"Hadden, Cherkinsky 2015",Northwest coast of Florida,Carribean,,1945,342,22,530,20,UGAMS-14895,0,484,166,,04/04/2022 08:36
1784,-86.4974,30.3841,427,20,"Hadden, Cherkinsky 2015",Northwest coast of Florida,Carribean,3 different shells,1941,856,22,1030,20,UGAMS-14897A,0,484,166,,04/04/2022 08:36
1785,-86.4974,30.3841,517,20,"Hadden, Cherkinsky 2015",Northwest coast of Florida,Carribean,2 different shells,1941,946,22,1120,20,UGAMS-14897B,0,484,166,,04/04/2022 08:36
1786,-118.0986,33.7361,17,20,"Holmquist, et al, 2015",Anaheim Slough,"California, USA",,1948,425,8,620,20,UCIAMS-138737,0,485,167,,11/08/2020 23:00
1787,-118.0986,33.7361,32,15,"Holmquist, et al, 2015",Anaheim Slough,"California, USA",,1948,440,8,635,15,UCIAMS-138738,0,485,167,,11/08/2020 23:00
1788,-118.0986,33.7361,27,15,"Holmquist, et al, 2015",Anaheim Slough,"California, USA",,1948,435,8,630,15,UCIAMS-138739,0,485,167,,11/08/2020 23:00
1789,-118.0986,33.7361,207,15,"Holmquist, et al, 2015",Anaheim Slough,"California, USA",,1942,632,8,810,15,UCIAMS-138735,0,485,167,,11/08/2020 23:00
1790,-118.0986,33.7361,92,15,"Holmquist, et al, 2015",Anaheim Slough,"California, USA",,1942,517,8,695,15,UCIAMS-138736,0,485,167,,11/08/2020 23:00
1791,-120.8743,35.3829,-98,15,"Holmquist, et al, 2015",Morro Bay,"California, USA",,1949,308,8,505,15,UCIAMS-138740,0,485,167,,11/08/2020 23:00
1792,-120.8743,35.3829,-73,15,"Holmquist, et al, 2015",Morro Bay,"California, USA",,1949,333,8,530,15,UCIAMS-138741,0,485,167,,11/08/2020 23:00
1793,-120.8743,35.3829,-103,20,"Holmquist, et al, 2015",Morro Bay,"California, USA",,1943,319,8,500,20,UCIAMS-138742,0,485,167,,11/08/2020 23:00
1794,-120.8743,35.3829,-128,15,"Holmquist, et al, 2015",Morro Bay,"California, USA",,1943,294,8,475,15,UCIAMS-138743,0,485,167,,11/08/2020 23:00
1795,-120.8743,35.3829,-73,15,"Holmquist, et al, 2015",Morro Bay,"California, USA",,1943,349,8,530,15,UCIAMS-138744,0,485,167,,11/08/2020 23:00
1796,-119.0909,34.097,-129,15,"Holmquist, et al, 2015",Mugu Lagoon,"California, USA",,1923,332,8,475,15,UCIAMS-138747,0,485,167,,11/08/2020 23:00
1797,-119.0909,34.097,-69,20,"Holmquist, et al, 2015",Mugu Lagoon,"California, USA",,1923,392,8,535,20,UCIAMS-138748,0,485,167,,11/08/2020 23:00
1798,-119.0909,34.097,-89,15,"Holmquist, et al, 2015",Mugu Lagoon,"California, USA",,1923,372,8,515,15,UCIAMS-138749,0,485,167,,11/08/2020 23:00
1799,-119.0909,34.097,367,15,"Holmquist, et al, 2015",Mugu Lagoon,"California, USA",,1937,809,8,970,15,UCIAMS-138745,0,485,167,,11/08/2020 23:00
1800,-119.0909,34.097,327,15,"Holmquist, et al, 2015",Mugu Lagoon,"California, USA",,1937,769,8,930,15,UCIAMS-138746,0,485,167,,11/08/2020 23:00
1801,-117.9058,33.6189,-178,15,"Holmquist, et al, 2015",Newport Bay,"California, USA",,1941,251,8,425,15,UCIAMS-138751,0,485,167,,11/08/2020 23:00
1802,-117.9058,33.6189,47,20,"Holmquist, et al, 2015",Newport Bay,"California, USA",,1948,455,8,650,20,UCIAMS-138647,0,485,167,,11/08/2020 23:00
1803,-117.9058,33.6189,162,20,"Holmquist, et al, 2015",Newport Bay,"California, USA",,1948,570,8,765,20,UCIAMS-138752,0,485,167,,11/08/2020 23:00
1804,-117.9058,33.6189,142,15,"Holmquist, et al, 2015",Newport Bay,"California, USA",,1948,550,8,745,15,UCIAMS-138753,0,485,167,,11/08/2020 23:00
1805,-117.9058,33.6189,142,15,"Holmquist, et al, 2015",Newport Bay,"California, USA",,1948,550,8,745,15,UCIAMS-138754,0,485,167,,11/08/2020 23:00
1806,-120.8743,35.3829,52,20,"Holmquist, et al, 2015",Morro Bay,"California, USA",,1940,485,8,655,20,UCIAMS-138755,0,486,167,,11/08/2020 23:00
1807,-120.8743,35.3829,182,15,"Holmquist, et al, 2015",Morro Bay,"California, USA",,1944,600,8,785,15,UCIAMS-138756,0,486,167,,11/08/2020 23:00
1808,-120.8743,35.3829,-53,15,"Holmquist, et al, 2015",Morro Bay,"California, USA",,1944,365,8,550,15,UCIAMS-138757,0,486,167,,11/08/2020 23:00
1809,-120.8743,35.3829,22,15,"Holmquist, et al, 2015",Morro Bay,"California, USA",,1944,440,8,625,15,UCIAMS-138758,0,486,167,,11/08/2020 23:00
1810,-120.8743,35.3829,2,20,"Holmquist, et al, 2015",Morro Bay,"California, USA",,1944,420,8,605,20,UCIAMS-138759,0,486,167,,11/08/2020 23:00
1811,-118.0986,33.7361,186,15,"Holmquist, et al, 2015",Anaheim Slough,"California, USA",,1926,637,8,790,15,UCIAMS-138761,0,487,167,,11/08/2020 23:00
1812,-118.0986,33.7361,50,20,"Holmquist, et al, 2015",Anaheim Slough,"California, USA",,1918,523,8,655,20,UCIAMS-138648,0,487,167,,11/08/2020 23:00
1813,-118.0986,33.7361,125,15,"Holmquist, et al, 2015",Anaheim Slough,"California, USA",,1918,598,8,730,15,UCIAMS-138762,0,487,167,,11/08/2020 23:00
1814,-118.0986,33.7361,120,15,"Holmquist, et al, 2015",Anaheim Slough,"California, USA",,1918,593,8,725,15,UCIAMS-138763,0,487,167,,11/08/2020 23:00
1815,-118.0986,33.7361,125,20,"Holmquist, et al, 2015",Anaheim Slough,"California, USA",,1918,598,8,730,20,UCIAMS-138764,0,487,167,,11/08/2020 23:00
1816,-119.0909,34.097,256,15,"Holmquist, et al, 2015",Mugu Lagoon,"California, USA",,1923,717,8,860,15,UCIAMS-138765,0,487,167,,11/08/2020 23:00
1817,-119.0909,34.097,161,15,"Holmquist, et al, 2015",Mugu Lagoon,"California, USA",,1923,622,8,765,15,UCIAMS-138766,0,487,167,,11/08/2020 23:00
1818,-119.0909,34.097,121,15,"Holmquist, et al, 2015",Mugu Lagoon,"California, USA",,1935,565,8,725,15,UCIAMS-138767,0,487,167,,11/08/2020 23:00
1819,-119.0909,34.097,211,20,"Holmquist, et al, 2015",Mugu Lagoon,"California, USA",,1935,655,8,815,20,UCIAMS-138768,0,487,167,,11/08/2020 23:00
1820,-119.0909,34.097,171,15,"Holmquist, et al, 2015",Mugu Lagoon,"California, USA",,1935,615,8,775,15,UCIAMS-138769,0,487,167,,11/08/2020 23:00
1821,-117.9058,33.6189,127,20,"Holmquist, et al, 2015",Newport Bay,"California, USA",,1936,570,8,730,20,UCIAMS-138649,0,487,167,,11/08/2020 23:00
1822,-117.9058,33.6189,107,20,"Holmquist, et al, 2015",Newport Bay,"California, USA",,1936,550,8,710,20,UCIAMS-138650,0,487,167,,11/08/2020 23:00
1823,-117.9058,33.6189,87,20,"Holmquist, et al, 2015",Newport Bay,"California, USA",,1936,530,8,690,20,UCIAMS-138651,0,487,167,,11/08/2020 23:00
1824,-117.9058,33.6189,137,20,"Holmquist, et al, 2015",Newport Bay,"California, USA",,1948,545,8,740,20,UCIAMS-138652,0,487,167,,11/08/2020 23:00
1825,-117.9058,33.6189,137,20,"Holmquist, et al, 2015",Newport Bay,"California, USA",,1948,545,8,740,20,UCIAMS-138653,0,487,167,,11/08/2020 23:00
1826,-52.0333,-32,-117,29,"Alves, 2015","Sao Jose do Norte, RS",Brazil Coast,,1949,289,30,486,29,LACUFF-140125,0,488,168,,30/08/2023 13:38
1827,-42.0167,-22.8667,-40,17,"Alves, 2015","Cabo Frio, RJ",Brazil Coast,,1947,370,19,563,17,LACUFF-140126,0,489,168,,30/08/2023 13:38
1828,-46.3333,-23.95,-110,25,"Alves, 2015","Santos, SP",Brazil Coast,,1942,315,26,493,25,LACUFF-140127,0,245,168,,30/08/2023 13:38
1829,-38.6667,-12.8833,-76,26,"Alves, 2015","Ilha de Itaparica, BA",Brazil Coast,,1948,332,27,527,26,LACUFF-140128,0,490,168,,30/08/2023 13:38
1830,-45.34,-23.73,87,40,Nadal De Mas:1999,"Ponta das Canas, Santa Catarina",Brazil coast,,1942,512,41,690,40,CAMS-51904,,230,108,,11/08/2020 23:00
1831,-45.34,-23.73,117,40,Nadal De Mas:1999,"Ponta das Canas, Santa Catarina",Brazil coast,,1942,542,41,720,40,CAMS-52524,,230,108,,11/08/2020 23:00
1832,-43.05,-22.9333,67,26,"Eastoe, CJ, :2002","Jurujuba, Niterói, Rio de Janeiro",Brazil coast,,1939,504,27,670,26,A-10038,,9,48,,11/08/2020 23:00
1833,168.9833,-34.6333,-158,30,"Komugabe, et al, 2014",Tasman Sea,"North Island, New Zealand",560m depth,1949,248,32,445,30,SANU-26514,,491,169,1934,11/08/2020 23:00
1834,14.2795,45.2947,-67,21,"Faivre, et al, 2015",Lovran,Adriatic Sea,deltar and R errors recalculated,1882,450,23,564,21,Z-5408,-2.8,492,170,,13/07/2021 07:32
1835,15.2236,44.1194,-501,21,"Faivre, et al, 2015",Zadararea,Adriatic Sea,deltar and R errors recalculated,1836,38,23,159,21,Z-5555,-0.8,492,170,,13/07/2021 07:32
1836,14.2822,45.3053,-18,20,"Faivre, et al, 2015",Ika,Adriatic Sea,deltar and R errors recalculated,1881,498,23,614,20,Z-5407,-4.1,493,170,,13/07/2021 07:32
1837,16.4342,43.5003,-223,21,"Faivre, et al, 2015",Split,Adriatic Sea,deltar and R errors recalculated,1848,308,23,431,21,Z-5556,-2.4,493,170,,13/07/2021 07:32
1838,16.29,43.3846,-195,21,"Faivre, et al, 2015",Solta,Adriatic Sea,deltar and R errors recalculated,1925,260,23,409,21,Z-5557,-0.3,494,170,,11/08/2020 23:00
1839,16.4342,43.5003,339,20,"Faivre, et al, 2015",Split,Adriatic Sea,deltar and R errors recalculated,1850,868,23,992,20,Z-5560,-0.6,495,170,,13/07/2021 07:32
1840,16.4417,43.1711,-14,20,"Faivre, et al, 2015",Hvar,Adriatic Sea,deltar and R errors recalculated,1850,515,23,639,20,Z-5561,0.2,495,170,,13/07/2021 07:32
1841,15.0698,43.9839,-167,21,"Faivre, et al, 2015",Dugiotok,Adriatic Sea,deltar and R errors recalculated,1910,322,23,440,21,Z-5559,0.8,496,170,,13/07/2021 07:32
1842,16.4417,43.1711,68,21,"Faivre, et al, 2015",Hvar,Adriatic Sea,deltar and R errors recalculated,1850,597,23,721,21,Z-5562,-0.8,156,170,,11/08/2020 23:00
1843,16.4417,43.1711,96,21,"Faivre, et al, 2015",Hvar,Adriatic Sea,deltar and R errors recalculated,1850,625,23,749,21,Z-5563,-0.6,156,170,,13/07/2021 07:32
1844,15.0698,43.9839,71,20,"Faivre, et al, 2015",Dugiotok,Adriatic Sea,deltar and R errors recalculated,1910,560,23,678,20,Z-5558,-2.8,156,170,,13/07/2021 07:32
1845,14.5356,45.3068,-27,20,"Faivre, et al, 2015",Bakar,Adriatic Sea,deltar and R errors recalculated,1917,449,23,578,20,Z-5404,-0.7,156,170,,11/08/2020 23:00
1846,109.3049,12.2139,-143,20,"Bolton, et al, 2016",Hon Tre Island,South China Sea,100m depth,1950,261,22,460,20,UCID-16785,,288,171,1990,30/08/2023 13:38
1847,-18,66,-23,45,"Scourse et al., 2012","Grimsey, NIS",North Sea,81 - 83m depth,1940,410,46,580,45,AAR-12282,1.39,19,172,,11/08/2020 23:00
1848,-18,66,-44,23,"Scourse et al., 2012","Grimsey, NIS",North Sea,81 - 83m depth,1950,360,25,559,23,AAR-12283,2.18,19,172,,11/08/2020 23:00
1849,4,54,-120,60,"Witbaard et al., 1994",Oyster Ground,North Sea,30-50m depth,1946,293,60,483,60,UTC-1077,1.77,19,172,,11/08/2020 23:00
1850,4,54,-473,74,"Witbaard et al., 1994",Oyster Ground,North Sea,30-50m depth,1941,-44,74,130,74,UTC-1015,2.55,19,172,,11/08/2020 23:00
1851,4,54,-263,50,"Witbaard et al., 1994",Oyster Ground,North Sea,30-50m depth,1927,185,51,341,50,UTC-1016,2.03,19,172,,11/08/2020 23:00
1911,31.0392,-29.8489,-23,24,"Maboya, et al, 2017",Durban,South Africa,NULL,1939,414,25,580,24,UBA-30229,0,534,185,,11/08/2020 23:00
1910,30.7601,-30.287,-38,24,"Maboya, et al, 2017",Scottburgh,South Africa,NULL,1913,448,25,568,24,UBA-30228,0,533,185,,11/08/2020 23:00
1909,32.8668,-26.9016,-35,29,"Maboya, et al, 2017",Kosi Bay,South Africa,NULL,1905,473,30,575,29,UBA-30227,0,532,185,,11/08/2020 23:00
1908,27.9254,-33.0093,-21,26,"Maboya, et al, 2017",East London,South Africa,NULL,1905,487,27,589,26,UBA-30226,0,531,185,,11/08/2020 23:00
1907,26.9,-33.6,56,26,"Maboya, et al, 2017",Port Alfred,South Africa,NULL,1928,500,27,660,26,UBA-30225,0,463,185,,11/08/2020 23:00
1905,31.4116,-29.3129,-60,26,"Maboya, et al, 2017",Nonoti,South Africa,NULL,1911,428,27,547,26,UBA-30223,0,529,185,,11/08/2020 23:00
1906,26.317,-33.967,49,27,"Maboya, et al, 2017","Algoa Bay, off Bird Island",South Africa,NULL,1920,516,28,653,27,UBA-30224,0,530,185,,11/08/2020 23:00
1858,-80.5573,24.9429,-166,59,Druffel & Linick 1978,"The Rocks, Florida",Western tropical Atlantic,,1950,238,60,437,59,LJ-4122,-0.6,501,174,2092,30/08/2023 13:38
1859,-80.4158,24.9824,-145,26,"Druffel, E.R.M. 1997","Pickles Reef, Florida",Western tropical Atlantic,,1950,259,28,458,26,UCID-941,,501,177,2123,30/08/2023 13:38
1860,-80.5573,24.9429,-137,23,"Druffel, E.R.M. 1997","The Rocks, Florida",Western tropical Atlantic,560m depth,1950,267,24,466,23,WH-511,0,278,177,,30/08/2023 13:38
1861,-80.5573,24.9429,-128,24,"Druffel, E.R.M. 1997","The Rocks, Florida",Western tropical Atlantic,NULL,1945,287,25,475,24,WH-512,0,278,177,,30/08/2023 13:38
1862,-80.5573,24.9429,-129,21,"Druffel, E.R.M. 1997","The Rocks, Florida",Western tropical Atlantic,NULL,1940,304,23,474,21,WH-513,0,278,177,,30/08/2023 13:38
1863,-178.333,28.417,-231,22,"Andrews, et al, 2016",Kure Atoll,Central Pacific,,1950,173,23,372,22,OS-113769,,502,178,2164,11/08/2020 23:00
1866,-91.25,-0.4167,-20,35,"Druffel, ERM 1981",Isabela Island,Eastern Tropical Pacific,found above sea level,1950,384,583,583,35,LJ-4555,,282,35,2239,30/08/2023 13:38
1868,24.9311,-34.0429,17,30,"Wuendsch, et al 2016","Jeffreys Bay, Eastern Cape",Southern Africa,NULL,1939,454,31,620,30,Beta-392093,0,504,180,,11/08/2020 23:00
1869,129.9957,28.2439,-187,37,"Hirabayashi, et al, 2017",SE coast of Kikai Island,NW Pacific,3.5m water,1946,226,38,416,37,YAUT-018734,,401,181,2244,18/08/2023 14:09
1870,124.3443,24.6061,-131,33,"Hirabayashi, et al, 2017",NE coast of Ishigaki,NW Pacific,5m water,1947,279,34,472,33,YAUT-019514,0,401,181,,18/08/2023 14:09
