z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date
51,68,Sb,,,,,,0,,,5/2+,38.19,,22,h,137484,792,EC,100,,,,,,,,,3.45,0.01,,,-2293,2.0000,-9856.0996,19.5972,-2364.0987,6.9982,589.446,7.035,9550.6538,7.5939,5111.6674,6.9871,8487.9218,0.0588,118903944.062,7.512,-89475.539,6.998,N,1947,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2023-10-18
51,69,Sb,,,,,,0,,,1+,15.89,,4,m,953.4,2.4,EC+B+,100,,,,,,,,,2.3,0.2,0.63,0.02,945.0271,7.3530,-9305.9118,10.2333,-2592.2906,7.2023,2680.608,7.258,7012.9118,10.0360,5641.1197,7.2256,8475.63,0.0600,119905080.308,7.728,-88417.133,7.199,N,1937,1-Dec-2001,K. KITAO and  Y. TENDOW AND A. HASHIZUME,2023-10-18
51,70,Sb,4.6802,0.0026,57.21,0.05,,0,,,5/2+,STABLE,,,,,,,,,,,,,,,,3.358,0.0016,-0.543,0.011,-1056.0462,25.7587,-8308.3145,2.4003,-3081.0375,5.4839,-402.531,2.69,9253.3416,7.5665,5790.3870,2.5046,8482.0574,0.0207,120903811.353,2.690,-89599.157,2.506,N,1922,20-Jan-2009,S. OHYA,2023-10-18
51,71,Sb,,,,,,0,,,2-,2.7238,,2,d,235336.32,17.28,B-,97.59,0.12,EC+B+,2.41,0.12,,,,,-1.9,0.02,1.28,0.08,1979.0772,2.1265,-7862.4121,25.7589,-3530.9438,8.1422,1605.748,3.501,6806.3659,0.1342,6426.5496,2.5206,8468.3222,0.0205,121905169.335,2.687,-88334.205,2.503,N,1939,30-Sep-2006,T. TAMURA,2023-10-18
51,72,Sb,4.6879,0.0025,42.79,0.05,,0,,,7/2+,STABLE,,,,,,,,,,,,,,,,2.5457,0.0012,-0.692,0.014,-51.9128,0.0661,-6980.9267,0.1034,-3949.148,7.3794,-1408.207,2.826,8960.0040,2.1275,6571.9087,2.4248,8472.3196,0.0110,122904215.292,1.456,-89222.890,1.356,N,1922,15-Apr-2021,Jun Chen,2023-10-18
51,73,Sb,,,,,,0,,,3-,60.20,,3,d,5201280,2592,B-,100,,,,,,,,,1.2,0.02,2.8,0.2,2905.073,0.1317,-6519.4091,0.0914,-4316.2439,40.0233,612.406,1.89,6467.4963,0.0631,7093.3572,2.4211,8456.1517,0.0110,123905937.065,1.457,-87619.069,1.358,N,1939,1-Apr-2008,J. KATAKURA and  Z.D. WU,2023-10-18
51,74,Sb,,,,,,0,,,7/2+,2.75856,,25,Y,87051673.71647051,7889.231493648,B-,100,,,,,,,,,2.63,0.04,,,766.7,2.1213,-5802.2703,2.1215,-4845.4168,27.4986,-2361.437,2.845,8707.3432,2.1256,7312.5896,2.1568,8458.1612,0.0201,124905254.264,2.700,-88255.094,2.515,N,1951,1-Jan-2010,J. KATAKURA,2023-10-18
51,75,Sb,,,,,,0,,,(8-),12.35,,6,d,1067040,5184,B-,100,,,,,,,,,1.28,0.07,,,3671.0321,31.8223,-5442.6597,31.8222,-5246.6906,59.3150,-378.0,33.5,6209.3597,31.8928,7788.4493,31.8204,8440.3136,0.2528,125907253.158,34.189,-86393.135,31.847,N,1956,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2023-10-18
51,76,Sb,,,,,,0,,,7/2+,3.85,,5,d,332640,4320,B-,100,,,,,,,,,2.7,0.04,,,1582.203,4.9102,-4705.4443,4.9132,-5694.1761,20.4319,-3228.716,10.534,8376.4764,32.1992,7972.1294,11.6956,8439.811,0.0400,126906925.557,5.457,-86698.294,5.083,N,1939,1-Oct-2009,A. HASHIZUME,2023-10-18
51,77,Sb,,,,,,0,,,8-,9.05,,4,h,32580,144,B-,100,,,,,,,,,1.3,0.2,,,4363.9419,18.7862,-4420.6729,18.8355,-6186.9891,35.8734,-1268.422,25.8,6002.8758,19.4616,8449.2449,20.9302,8420.7724,0.1468,127909146.121,20.169,-84629.852,18.788,N,1956,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2023-10-18
51,78,Sb,,,,,,0,,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,,,,,,,,2.79,0.04,,,2375.5,21.2132,-3706.9087,21.2134,-6641.9923,21.2988,-4038.787,27.363,8070.8506,28.3360,8556.9255,27.6176,8418.0598,0.1645,128909146.623,22.786,-84629.384,21.225,N,1939,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2023-10-18
51,79,Sb,,,,,,0,,,(8-),39.5,,8,m,2370,48,B-,100,,,,,,,,,,,,,5067.2728,14.2124,-3352.1207,14.2302,-6901.2257,14.8177,-2153.47,14.33,5727.6207,25.5440,8984.0611,22.3662,8397.3641,0.1093,129911662.686,15.257,-82285.687,14.212,N,1962,11-May-2001,BALRAJ SINGH,2023-10-18
51,80,Sb,,,,,,0,,,(7/2+),23.03,,4,m,1381.8,2.4,B-,100,,,,,,,,,2.89,0.04,,,3229.6099,2.0845,-2699.7700,2.0837,-7526.4307,10.2162,-4716.833,4.178,7767.0428,14.3643,9138.1660,2.8017,8392.5525,0.0159,130911989.339,2.236,-81981.412,2.084,N,1956,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2023-10-18
51,81,Sb,,,,,,0,,,(4)+,2.79,,7,m,167.4,4.2,B-,100,,,,,,,,,,,,,5552.9155,4.2708,-2495.5781,2.4677,-7870.0808,2.7990,-3088.728,3.161,5725.1880,3.2291,9659.6738,4.3815,8372.3452,0.0187,131914508.013,2.648,-79635.282,2.467,N,1956,28-FEB-2018,BALRAJ SINGH,2023-10-18
51,82,Sb,,,,,,0,,,(7/2+),2.34,,5,m,140.4,3,B-,100,,,,,,,,,3,0.04,,,4013.6198,3.5179,-1806.6341,4.6837,-8513.5402,3.6972,-8049.623,3.662,7359.5496,3.9836,9665.9306,3.6996,8364.7302,0.0235,132915272.128,3.357,-78923.513,3.128,N,1966,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2023-10-18
51,83,Sb,,,,,,0,,,(0-),0.78,,6,s,0.78,0.06,B-,100,,,,,,,,,,,,,8514.7483,4.1221,846.8108,3.7037,-6537.3901,3.5569,-7585.245,4.414,3166.8089,4.3855,10434.0847,3.6158,8325.9398,0.0229,133920537.334,3.300,-74019.004,3.074,N,1967,31-Jan-2011,K. Abu Saleem and  Z. Wu and  S. Chaudhury and  D and  Bernard and  E. Browne,2023-10-18
51,84,Sb,,,,,,0,,,(7/2+),1.679,,15,s,1.679,0.015,B-,100,,B-N,22,3,,,,,,,,,8038.4581,3.1524,4772.1020,3.8097,-4090.8788,3.4402,-9058.08,4.05,3742.6463,4.0522,10545.5446,4.1233,8291.9894,0.0196,134925184.354,2.834,-69690.332,2.640,N,1964,31-DEC-2016,BALRAJ SINGH,2023-10-18
51,85,Sb,,,,,,0,,,(1-),0.923,,14,s,0.923,0.014,B-,100,,B-N,18.5,1.8,B-2N,1,,,,,,,9918.3897,6.2599,5150.5827,6.0786,-4520.2518,60.3149,-8336.89,200.08,2887.8754,6.3996,11163.6083,6.5903,8252.2533,0.0429,135930749.009,6.258,-64506.890,5.830,N,1976,1-Apr-2018,E.A. MCCUTCHAN,2023-10-18
51,86,Sb,,,,,,0,,,(7/2+),450,,50,ms,0.45,0.05,B-,100,,B-N,49,10,,,,,,,,,9243.3698,52.2059,6293.5687,52.2135,-4795,207,-9910.392,304.501,3624.8209,52.4884,11179,207,8218.4764,0.3808,136935522.519,56.000,-60060.392,52.164,N,1994,1-Oct-2006,E. BROWNE and  J. K. TULI,2023-10-18
51,87,Sb,,,,,,0,,,(3-),348,,15,ms,0.348,0.015,B-N,72,8,B-,,,B-2N,,,,,,,,11046,300,6583,300,-5105,361,-9140.0,500.0,2661,304,11789,424,8178,2,137941331,322,-54650,300,Y,1994,30-Sep-2017,JUN CHEN,2023-10-18
51,88,Sb,,,,,,0,,,(7/2+),93,,13,ms,0.093,0.013,B-,100,,B-N,90,10,B-2N,,,,,,,,10155,400,7575,400,-5365,500,-10740.0,565.6,3472,500,11829,565,8144,3,138946269,429,-50050,400,Y,1994,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2023-10-18
51,89,Sb,,,,,,0,,,(3- 4-),173,,12,ms,0.173,0.012,B-,100,,B-N,23,4,B-2N,7.6,2.5,,,,,,11977,600,7743,600,-5845,671,-9900.0,670.8,2412,721,12369,721,8103,4,139952345,644,-44390,600,Y,2010,20-Nov-2018,N. NICA,2023-10-18
51,90,Sb,,,,,,0,,,,103,,29,ms,0.103,0.029,B-,100,,B-2N,,,B-N,,,,,,,,11129,640,8756,500,-6135,640,,,3221,781,12339,583,8069,4,140957552,537,-39540,500,Y,2018,12-Oct-2022,N. NICA,2023-10-18
51,91,Sb,,,,,,0,,,,53,,+69-31,ms,0.053,0.05,B-,100,,B-2N,,,B-N,,,,,,,,12939,583,8988,500,,,,,2141,583,,,8027,2,141963918,322,-33610,300,Y,2018,31-JAN-2021,BALRAJ SINGH,2023-10-18
52,52,Te,,,,,,0,,,0+,18,LT,,ns,0.000000018,,A,100,,2P,,,,,,,,,,,,,,,5096.3997,208.0163,9668.169,333.281,,,246,437,8157.3256,3.0539,103946723.408,340.967,-49626.831,317.609,N,2018,31-JAN-2021,BALRAJ SINGH,2023-10-18
52,53,Te,,,,,,0,,,[5/2+],0.62,,7,us,0.00000062,0.00000007,A,100,,,,,,,,,,,,,,,,,5069.1999,3.0000,11203.982,300.813,11255.9961,436.9069,806,317,8186.8368,2.8573,104943304.516,322.084,-52811.509,300.020,N,2006,1-Apr-2019,S. LALKOVSKI and  J. TIMAR and Z. ELEKES,2023-10-18
52,54,Te,,,,,,0,,,0+,70,,17,us,0.00007,0.000017,A,100,,,,,,,,,,,,,-14920,412,,,4290.2208,9.3537,8253.542,100.817,13479.5684,316.4178,1493.2389,102.8825,8236.7682,0.9485,105937498.521,107.934,-58219.759,100.541,N,1981,1-May-2007,D. DE FRENNE AND A. NEGRET,2023-10-18
52,55,Te,,,,,,0,,,,3.1,,1,ms,0.0031,0.0001,A,70,30,EC+B+,30,30,,,,,,,,,-11227,316,-25429,412,4010.3533,4.6097,9996.248,101.085,10509,142,1473,101,8258,1,106934882,108,-60657,101,Y,1979,1-Mar-2008,Jean Blachot,2023-10-18
52,56,Te,,,,,,0,,,0+,2.1,,1,s,2.1,0.1,EC+B+,51,4,A,49,4,B+P,2.4,1,,,,,,-13011,101,-24423,300,3420.465,7.6044,6663.665,7.713,13196,101,2417.3989,6.8178,8303.7221,0.0501,107929380.469,5.808,-65781.676,5.411,N,1974,1-Jul-2008,Jean Blachot,2023-10-18
52,57,Te,,,,,,0,,,(5/2+),4.4,,2,s,4.4,0.2,EC+B+,96.1,1.3,B+P,9.4,3.1,A,3.9,1.3,,,,,,-10042.8941,8.0301,-23016,101,3197.6861,5.7000,8535.587,6.85,10005.0412,6.9630,2559.0296,7.0291,8319.3305,0.0402,108927304.532,4.704,-67715.399,4.382,N,1967,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2023-10-18
52,58,Te,,,,,,0,,,0+,18.6,,8,s,18.6,0.8,EC+B+,100,,A,0.00067,,,,,,,,,,-11761.9766,62.2875,-22628.6333,9.4079,2698.9612,7.7506,5219.924,8.876,12585.7392,7.9016,3267.8051,8.4233,8358.116,0.0598,109922458.102,7.058,-72229.821,6.575,N,1977,1-Aug-2011,G. G~URDAL and F.G. KONDEV,2023-10-18
52,59,Te,,,,,,0,,,(5/2)+,19.3,,4,s,19.3,0.4,EC+B+,100,,B+P,,,,,,,,,,,-8633.6922,7.9943,-21190.9611,62.2721,2499.836,8.3367,7249.26,10.93,9428.9845,9.1946,3426.7135,8.7664,8367.7635,0.0579,110921000.587,6.900,-73587.487,6.427,N,1967,1-Feb-2008,Jean Blachot,2023-10-18
52,60,Te,,,,,,0,,,0+,2.0,,2,m,120,12,EC+B+,100,,,,,,,,,,,,,-10504.1795,13.2390,-20685.0414,9.6375,2077.5148,9.9626,4031.455,19.701,12051.3493,10.5637,4019.7426,12.1898,8400.6527,0.0749,111916727.848,9.000,-77567.518,8.383,N,1976,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2023-10-18
52,61,Te,,,,,,0,,,(7/2+),1.7,,2,m,102,12,EC+B+,100,,,,,,,,,,,,,-7227.521,29.0704,-19355.0169,29.7641,1858.2272,29.0534,6069.929,32.81,8850.8374,29.1753,4037.0354,33.1481,8404.6366,0.2473,112915891,30.000,-78347.037,27.945,N,1974,1-May-2009,Jean Blachot,2023-10-18
52,62,Te,,,,,,0,,,0+,15.2,,7,m,912,42,EC+B+,100,,,,,,,,,,,,,-9250.7417,31.5883,-18841.4781,25.7082,1527.4002,28.0454,2606.94,31.42,11613.9571,37.1167,4761.6820,29.8719,8432.7885,0.2143,113912087.82,26.224,-81889.676,24.428,N,1968,1-Jan-2012,Jean Blachot,2023-10-18
52,63,Te,,,,,,0,,,7/2+,5.8,,2,m,348,12,EC+B+,100,,,,,,,,,,,,,-5724.9628,40.1840,-17495.1507,34.3802,1450.8973,28.4498,4940.645,32.214,8244.4090,37.1167,4855.1222,34.2325,8431.1504,0.2430,114911902,30.000,-82062.767,27.945,N,1961,1-Sep-2012,JEAN BLACHOT,2023-10-18
52,64,Te,4.6847,0.0128,,,,0,,,0+,2.49,,4,h,8964,144,EC+B+,100,,,,,,,,,,,,,-7843.1388,75.3230,-16997.3059,37.6797,966.3408,24.2076,1558.227,24.749,11272.3432,36.9707,5549.3514,29.0298,8455.6435,0.2087,115908465.558,25.986,-85263.793,24.206,N,1958,1-Dec-2009,Jean Blachot,2023-10-18
52,65,Te,,,,,,0,,,1/2+,62,,2,m,3720,120,EC+B+,100,,B+,25,1,,,,,-0.787,0.012,,,-4656.9321,28.1284,-15746.1646,76.2341,807.7132,13.5470,3544.064,15.881,7903.0258,27.6941,5562.4516,14.4084,8450.9203,0.1150,116908646.227,14.444,-85095.500,13.455,N,1958,1-Mar-2009,JEAN BLACHOT,2023-10-18
52,66,Te,4.6956,0.0105,,,,0,,,0+,6.00,,2,d,518400,1728,EC,100,,,,,,,,,,,,,-6719.7015,26.9364,-15323.5078,31.4374,444.0616,18.3062,305.446,18.553,10666.5756,22.7190,6340.1653,20.1566,8469.697,0.1551,117905860.104,19.652,-87690.758,18.306,N,1948,1-Feb-1993,K. KITAO,2023-10-18
52,67,Te,,,,,,0,,,1/2+,16.05,,5,h,57780,180,EC+B+,100,,B+,2.06,0.05,,,,,0.25,0.05,,,-3404.808,22.8941,-14282.8011,21.0578,426.3905,7.2784,2293.0,10.0,7563.0996,19.6990,6475.3068,7.8529,8462.0785,0.0612,118906405.699,7.813,-87182.539,7.278,N,1948,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2023-10-18
52,68,Te,4.7038,0.0088,0.09,0.01,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.58,0.11,-0.41,0.03,-5615,15.0000,-13655.7469,21.7769,-261.0973,1.7537,-945.027,7.409,10250.9389,7.4836,7175.5919,7.2114,8476.9857,0.0146,119904065.779,1.880,-89362.160,1.751,N,1936,1-Dec-2001,K. KITAO and  Y. TENDOW AND A. HASHIZUME,2023-10-18
52,69,Te,,,,,,0,,,1/2+,19.17,,4,d,1656288,3456,EC+B+,100,,,,,,,,,0.738,0.01,,,-2297.4615,25.9856,-12867.2683,29.8537,-570.284,25.8386,1056.046,25.956,7252.2683,25.8117,7414.9485,26.8032,8466.8641,0.2135,120904945.065,27.734,-88543.111,25.835,N,1939,20-Jan-2009,S. OHYA,2023-10-18
52,70,Te,4.7095,0.0031,2.55,0.12,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.7,0.03,-0.57,0.05,-4234,5.0000,-12138.9508,4.5236,-1085.3546,1.4351,-1979.077,2.847,9841.4893,25.8004,8003.0962,2.1304,8478.1315,0.0111,121903044.708,1.456,-90313.282,1.357,N,1932,30-Sep-2006,T. TAMURA,2023-10-18
52,71,Te,4.7117,0.0035,0.89,0.03,,0,,,1/2+,9.2E+16,GT,,Y,2.903237189662464e24,,EC,100,,,,,,,,,-0.7358,0.0003,,,-1228.3898,3.4448,-11163.0139,5.0006,-1530.909,1.5142,51.912,1.917,6929.0139,0.0795,8125.7441,2.1271,8465.537,0.0110,122904271.022,1.454,-89170.978,1.355,N,1932,15-Apr-2021,Jun Chen,2023-10-18
52,72,Te,4.7183,0.0029,4.74,0.14,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.66,0.04,-0.45,0.05,-3159.587,1.8593,-10652.8719,3.4461,-1851.3168,1.3595,-2905.073,1.916,9424.4821,0.0949,8590.2223,0.1156,8473.2705,0.0109,123902818.341,1.451,-90524.142,1.352,N,1932,1-Apr-2008,J. KATAKURA and  Z.D. WU,2023-10-18
52,73,Te,4.7204,0.0030,7.07,0.15,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,-0.887,0.0005,-0.31,0.02,-185.77,0.0600,-9728.5572,1.8596,-2250.0837,1.3946,-766.7,2.8,6568.9703,0.0300,8691.6962,0.1351,8458.0361,0.0108,124904431.178,1.451,-89021.794,1.352,N,1931,1-Jan-2010,J. KATAKURA,2023-10-18
52,74,Te,4.7266,0.0032,18.84,0.25,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-2153.6712,3.6717,-9299.4618,0.1000,-2549.1306,2.4240,-3671.033,31.876,9113.6918,0.0800,9098.0448,2.1228,8463.2397,0.0107,125903312.144,1.453,-90064.168,1.354,N,1924,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2023-10-18
52,75,Te,,,,,,0,,,3/2+,9.35,,7,h,33660,252,B-,100,,,,,,,,,0.635,0.004,,,702.7199,3.5652,-8441.3184,3.6744,-2890.7301,2.4261,-1582.203,5.263,6287.6472,0.1788,9176.3324,31.8228,8446.109,0.0108,126905226.993,1.465,-88280.497,1.365,N,1938,1-Oct-2009,A. HASHIZUME,2023-10-18
52,76,Te,4.7346,0.0029,31.74,0.08,,0,,,0+,7.7E+24,,4,Y,2.429883300043584e32,1.26227703898368e31,2B-,100,,,,,,,,,0.64,0.03,-0.22,0.05,-1255.7634,3.6807,-8081.8949,3.6805,-3187.234,1.4587,-4363.942,18.801,8784.6148,1.5027,9584.4707,5.1223,8448.7536,0.0055,127904461.237,0.758,-88993.794,0.706,N,1924,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2023-10-18
52,77,Te,,,,,,0,,,3/2+,69.6,,3,m,4176,18,B-,100,,,,,,,,,0.702,0.004,0.055,0.013,1502.2919,3.1358,-7338.1721,3.6816,-3536.1428,1.4745,-2375.5,21.2,6082.4087,0.0813,9664.0036,18.7864,8430.4098,0.0055,128906596.419,0.763,-87004.884,0.711,N,1939,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2023-10-18
52,78,Te,4.7423,0.0025,34.08,0.62,,0,,,0+,0.79E+21,GT,,Y,2.492997151992768e28,,2B-,100,,,,,,,,,0.7,0.04,-0.12,0.05,-416.7716,3.1537,-6917.1016,3.1534,-3762.74,10.6876,-5067.273,14.212,8419.3935,0.7109,10012.5465,21.2251,8430.3251,0.0003,129906222.745,0.011,-87352.960,0.011,N,1924,11-May-2001,BALRAJ SINGH,2023-10-18
52,79,Te,,,,,,0,,,3/2+,25.0,,1,m,1500,6,B-,100,,,,,,,,,0.696,0.009,0.25,0.14,2231.7057,0.6077,-6346.1516,3.1542,-4166.3596,9.2257,-3229.61,2.08,5929.3800,0.0600,10214.3058,14.2125,8411.2339,0.0005,130908522.21,0.065,-85211.022,0.061,N,1939,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2023-10-18
52,80,Te,4.7500,0.0031,,,,0,,,0+,3.204,,13,d,276825.6,1123.2,B-,100,,,,,,,,,4.7,0.5,,,515.3046,3.4830,-5816.7879,3.5383,-4251.6832,18.0223,-5552.915,4.271,8048.4936,3.4868,10495.7565,4.0615,8408.4859,0.0264,131908546.713,3.742,-85188.197,3.486,N,1948,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2023-10-18
52,81,Te,,,,,,0,,,(3/2+),12.5,,3,m,750,18,B-,100,,,,,,,,,0.85,0.02,0.23,0.09,2920.169,6.2531,-5304.9493,4.5603,-4771.4519,17.3931,-4013.62,3.74,5820.2539,4.0525,10590.8223,3.2178,8389.0255,0.0155,132910963.33,2.218,-82937.133,2.066,N,1940,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2023-10-18
52,82,Te,4.7569,0.0041,,,,0,,,0+,41.8,,8,m,2508,48,B-,100,,,,,,,,,5.08,0.15,,,1509.6875,4.9335,-4747.7685,6.5096,-4826.4515,3.3242,-8514.748,4.122,7667.9375,3.4368,10899.2103,4.1624,8383.6442,0.0205,133911396.376,2.948,-82533.752,2.746,N,1948,31-Jul-2004,A.A. Sonzogni,2023-10-18
52,83,Te,,,,,,0,,,(7/2-),19.0,,2,s,19,0.2,B-,100,,,,,,,,,-0.69,0.05,0.29,0.09,6050.3894,2.6850,-1756.6685,5.1531,-2889.1273,4.0097,-8038.458,3.152,3266.3560,3.2417,10998.7574,3.5235,8345.7384,0.0128,134916554.715,1.848,-77728.790,1.722,N,1969,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2023-10-18
52,84,Te,4.7815,0.0089,,,,0,,,0+,17.63,,9,s,17.63,0.09,B-,100,,B-N,1.31,0.05,,,,,0.68,,,,5119.9455,14.1880,1282.5824,3.0734,-303.6415,3.0177,-9918.389,6.26,4767.8070,2.8582,12023.9180,3.4891,8319.4301,0.0168,135920101.18,2.448,-74425.279,2.281,N,1974,1-Apr-2018,E.A. MCCUTCHAN,2023-10-18
52,85,Te,,,,,,0,,,(7/2-),2.49,,5,s,2.49,0.05,B-,100,,B-N,2.99,0.16,,,,,,,,,7052.5063,8.6426,2170.1444,14.3427,-854.7877,2.8350,-9243.37,52.20,2949.8010,3.1008,12085.8437,6.1964,8280.2357,0.0153,136925599.354,2.254,-69303.762,2.100,N,1975,1-Oct-2006,E. BROWNE and  J. K. TULI,2023-10-18
52,86,Te,,,,,,0,,,0+,1.4,,4,s,1.4,0.4,B-,100,,B-N,6.3,2.1,,,,,,,,,6283.9149,7.0625,2588.9557,9.1990,-1687.1519,4.9366,-11045.995,300.024,4463.5506,4.3303,12924.5734,52.3009,8252.5786,0.0274,137929472.452,4.065,-65695.995,3.787,N,1975,30-Sep-2017,JUN CHEN,2023-10-18
52,87,Te,,,,,,0,,,(7/2-),1.6,,3,s,1.6,0.3,B-,100,,B-N,,,,,,,,,,,8265.8835,5.3454,3703.5113,6.9332,-1997.7438,4.6881,-10155.08,400.01,2580.4036,5.1835,12844,300,8211.7716,0.0255,138935367.191,3.800,-60205.080,3.540,N,1994,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2023-10-18
52,88,Te,,,,,,0,,,0+,348,,5,ms,0.348,0.005,B-,100,,B-N,,,,,,,,,,,7238.7734,18.7976,4032.1965,14.9250,-2622,201,-11977.449,600.172,4233.6870,14.8068,13606,400,8183.3567,0.1027,139939487.057,15.434,-56367.449,14.377,N,1994,20-Nov-2018,N. NICA,2023-10-18
52,89,Te,,,,,,0,,,,193,,16,ms,0.193,0.016,B-,100,,B-N,,,,,,,,,,,9257,400,4865,400,-2945,500,-11130.0,640.3,2373,400,13568,721,8142,3,140945604,429,-50670,400,Y,1994,12-Oct-2022,N. NICA,2023-10-18
52,90,Te,,,,,,0,,,0+,,,,,,,,,,,,,,,,,,,,,8253,500,5306,500,-3464,640,-12940.0,583.0,3951,640,14298,707,8113,4,141950027,537,-46550,500,Y,1994,1-Jun-2010,T.D. Johnson and  D. Symochko(a) and  M. Fadil(b) and  and J.K. Tuli,2023-10-18
52,91,Te,,,,,,0,,,,408,GT,,ns,0.000000408,,B-,,,B-N,,,B-2N,,,,,,,,10259,539,6201,500,-3645,640,,,2052,707,14209,583,8070,3,142956489,537,-40530,500,Y,2010,31-May-2011,E. BROWNE and  J. K. TULI,2023-10-18
52,92,Te,,,,,,0,,,0+,,,,,,,B-,100,,B-2N,,,B-N,,,,,,,,9110,500,6498,361,-4155,424,,,3761,583,,,8040,2,143961116,322,-36220,300,Y,2015,31-JAN-2018,BALRAJ SINGH,2023-10-18
52,93,Te,,,,,,0,,,,,,,,,,B-,100,,B-2N,,,B-N,,,,,,,,11120,583,7249,500,,,,,1861,424,,,7998,2,144967783,322,-30010,300,Y,2018,31-JAN-2021,BALRAJ SINGH,2023-10-18
53,55,I,,,,,,0,,,(1),36,,6,ms,0.036,0.006,A,91,15,EC+B+,9,,P,1,,,,,,,-10139,393,,,4098.6662,4.6084,13010.676,101.145,11413,317,-596.9999,13.0000,8176,1,107943348,109,-52771,101,Y,1991,1-Jul-2008,Jean Blachot,2023-10-18
53,56,I,,,,,,0,,,(1/2+ 3/2+),92.8,,8,us,0.0000928,0.0000008,P,99.986,0.004,A,0.014,0.004,,,,,,,,,-11502.9589,300.1831,-23111.4668,379.5568,3918.0699,20.7635,10042.894,8.03,12973,102,-820.1999,4.0000,8220.0164,0.0617,108938086.022,7.223,-57672.505,6.729,N,1984,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2023-10-18
53,57,I,,,,,,0,,,(1+),0.664,,24,s,0.664,0.024,EC+B+,83,4,A,17,4,ECP,11,3,,,,,,-8545.2075,118.4700,-22369.6156,306.4329,3580.5414,61.4896,11761.977,62.288,10866.6567,62.3040,41.4156,62.0944,8244.0767,0.5631,109935085.102,66.494,-60467.844,61.940,N,1977,1-Aug-2011,G. G~URDAL and F.G. KONDEV,2023-10-18
53,58,I,,,,,,0,,,(5/2+),2.5,,2,s,2.5,0.2,EC+B+,99.9,,A,0.1,,,,,,,,,,-10434,116,-21102.4764,101.1001,3274.5378,5.1866,8633.692,7.994,12557.2689,62.1217,12.9453,8.1136,8282.9343,0.0428,110930269.236,5.103,-64953.795,4.754,N,1977,1-Feb-2008,Jean Blachot,2023-10-18
53,59,I,,,,,,0,,,(1+),3.34,,8,s,3.34,0.08,EC+B+,100,,ECP,0.88,0.1,ECA,0.104,0.012,,,,,,-7036.991,13.1754,-20615,116,2957.0864,11.6273,10504.179,13.238,10180.8619,11.2955,764.8227,12.0954,8299.8801,0.0915,111928004.548,11.000,-67063.339,10.246,N,1977,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2023-10-18
53,60,I,,,,,,0,,,5/2+,6.6,,2,s,6.6,0.2,EC+B+,100,,A,0.000000331,,,,,,,,,,-8915.8902,10.5334,-19164.4870,11.5228,2706.5541,9.5861,7227.52,29.07,12127.4960,13.0063,840.9694,11.5955,8333.7528,0.0709,112923650.062,8.600,-71119.517,8.011,N,1977,1-May-2009,Jean Blachot,2023-10-18
